"","Yindex","MedFailTimeMLE","MedFailTimeSE","MedFailTimeCI.Lower","MedFailTimeCI.Upper"
"1",0,0,0,0,0
"2",1,112.705501864703,7.52604011867413,97.9547342858985,127.456269443508
"3",2,127.228543289869,7.68584289981181,112.164568015405,142.292518564333
"4",3,136.581680299944,7.74395075114519,121.403815729647,151.75954487024
"5",4,143.635595384694,7.76662932546923,128.413281625502,158.857909143886
"6",5,149.359911996491,7.77250820160789,134.126075851797,164.593748141184
"7",6,154.20844500197,7.76914556715871,138.98119949969,169.43569050425
"8",7,158.432571593258,7.76023896083703,143.222782718592,173.642360467923
"9",8,162.18700866851,7.74781985815054,147.001560787831,177.372456549189
"10",9,165.574167246358,7.73309657373178,150.417576472874,180.730758019843
"11",10,168.665558558244,7.71683042284812,153.540848854659,183.790268261829
"12",11,171.513208820084,7.69952239391446,156.422422229852,186.603995410316
"13",12,174.156219813465,7.68151345625654,159.100730092443,189.211709534488
"14",13,176.624766925598,7.66304190829969,161.605480773309,191.644053077886
"15",14,178.942653102229,7.64427783783247,163.960143852259,193.925162352198
"16",15,181.129004826628,7.62534469232482,166.183603859967,196.074405793288
"17",16,183.19943556498,7.60633324949327,168.291296341564,198.107574788397
"18",17,185.166866278178,7.58731093118637,170.296010113545,200.03772244281
"19",18,187.042118040221,7.56832816867628,172.208467406435,201.875768674006
"20",19,188.834349037576,7.54942284726125,174.03775215288,203.630945922272
"21",20,190.551382748195,7.53062346848013,175.791631968842,205.311133527548
"22",21,192.199958415355,7.51195143733686,177.476804144561,206.923112686149
"23",22,193.785924993139,7.49342274093085,179.099086299981,208.472763686297
"24",23,195.314393279409,7.4750491964793,180.663566071645,209.965220487174
"25",24,196.78985665488,7.45683938995932,182.17472001206,211.4049932977
"26",25,198.216287929517,7.43879938937977,183.636509038114,212.79606682092
"27",26,199.597217779956,7.42093329182142,185.052455796311,214.1419797636
"28",27,200.935798842711,7.40324364647071,186.425707926854,215.445889758569
"29",28,202.234858514662,7.3857317841887,187.75909021818,216.710626811145
"30",29,203.496942778414,7.36839807597172,189.055147925755,217.938737631073
"31",30,204.724352831781,7.35124213684327,190.316183001935,219.132522661627
"32",31,205.919175900926,7.33426298754238,191.544284592198,220.294067209654
"33",32,207.083311316656,7.31745918333393,192.741354858979,221.425267774332
"34",33,208.218492705883,7.30082891703509,193.909130971206,222.527854440561
"35",34,209.326306976047,7.28437010169954,195.049203926655,223.603410025438
"36",35,210.408210635771,7.26808043716339,196.163034742191,224.653386529352
"37",36,211.465543890242,7.25195746372005,197.251968443934,225.67911933655
"38",37,212.499542867531,7.2359986054839,198.3172462086,226.681839526461
"39",38,213.511350267077,7.22020120545941,199.360015943244,227.66268459091
"40",39,214.50202466974,7.20456255390662,200.381341539717,228.622707799763
"41",40,215.472548707376,7.18907991127745,201.382210999291,229.56288641546
